Date,AL,BA,BE,BG,CY,DE,DK,EE,EL,ES,FI,FR,HR,IE,IT,LT,LV,ME,ML,NL,NO,PL,PT,RO,SE,SI,UK
2008-02-26,0.0,0.0,0.0,4531.359201466808,0.0,0.0,126910.4876598,22313.558110848,0.0,0.0,33.78626705,637.494854112,0.0591418742388,0.0,1.7905221532799993,0.0,0.0,0.0,0.0,15120.0283839,11.992357895,0.0,0.0,0.0,2504.34882516,0.0,152172.215113715
2008-02-27,0.0,0.0,0.0,6340.777192794171,0.0,0.0,127855.93689648,27663.818365104,0.0,0.0,50.1369198,258.7852445825,0.0432179463156,0.0,11.9525426874,0.0,0.0,0.0,0.0,12424.82621193,11.13702182,0.0,0.0,0.0,3000.94296075,0.0,95634.67769951
2008-02-28,0.0,0.0,0.0,5494.423707149101,0.0,0.0,112747.44154752,27208.657429472,0.0,0.0,47.5122294,145.12685614010002,0.3069807047232,0.0,6.33020614128,0.0,0.0,0.0,0.0,2015.632207578,10.462256721,0.0,0.0,0.0,2424.17434056,0.0,72063.00913136
2008-02-29,0.0,0.0,0.0,1155.77304750822,0.0,0.0,103796.52487308,14607.9913982272,0.0,0.0,11.59160014,438.7055511931,0.20978000897,0.0,6.287203837907999,0.0,0.0,0.0,0.0,8925.078300996,13.532031577,0.0,0.0,0.0,1942.52700362,0.0,127958.02240794
2008-03-01,0.0,0.0,0.0,14747.603633757,0.0,0.0,126736.07360076,22409.79998784,0.0,0.0,54.4440243,1049.16332525,9.0865156386,0.0,207.2522353608,0.0,0.0,0.0,0.0,14334.83155995,13.906133913999998,0.0,0.0,0.0,2661.61565754,0.0,144886.643577735
2008-03-02,0.0,0.0,0.0,17071.411577106002,0.0,0.0,127243.28100588,10656.016049088,0.0,0.0,29.21325907,679.781893069,3.1742666638,0.0,146.04818697,0.0,0.0,0.0,0.0,13929.04246767,9.767485877,0.0,0.0,0.0,1731.9332121,0.0,112482.265117025
2008-03-03,0.0,0.0,0.0,9073.1057113296,0.0,0.0,79122.05430168,6344.3904367744,0.0,0.0,15.66760079,842.106166631,17.70522562,0.0,83.7320601348,0.0,0.0,0.0,0.0,13268.77573494,4.733764172799998,0.0,0.0,0.0,1212.14607276,0.0,117252.416966085
2008-03-04,0.0,0.0,0.0,9519.515371794,0.0,0.0,56703.451337676,23619.389966912,0.0,0.0,53.3810749,1130.528191797,17.76443222,0.0,144.148209156,0.0,0.0,0.0,0.0,12189.43741983,11.533409316999998,0.0,0.0,0.0,1289.25259603,0.0,84372.595169785
2008-03-05,0.0,0.0,0.0,7859.614853661001,0.0,0.0,105689.00878692,15478.791143792,0.0,0.0,34.13745025,672.347604882,22.62796602,0.0,147.55941396,0.0,0.0,0.0,0.0,9651.903083163,13.805614575999998,0.0,0.0,0.0,1798.98442472,0.0,108730.125950535
2008-03-06,0.0,0.0,0.0,2381.7414986040603,0.0,0.0,121314.66736272,25196.563271008,0.0,0.0,58.6362272,571.104792452,32.97985332,0.0,247.612701168,0.0,0.0,0.0,0.0,12692.11448406,12.985471891199998,0.0,0.0,0.0,3052.18569047,0.0,125513.200943145
